=================================	INIT TIME:	2023-06-21 19:15:09	=====================================
[2023-06-21 19:17:43]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15940']	[STATUS => 1]
[2023-06-21 19:17:44]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15930']	[STATUS => 1]
[2023-06-21 19:17:46]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15925']	[STATUS => 1]
[2023-06-21 19:17:47]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15918']	[STATUS => 1]
[2023-06-21 19:17:48]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15901']	[STATUS => 1]
[2023-06-21 19:17:49]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15908']	[STATUS => 1]
[2023-06-21 19:17:50]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15889']	[STATUS => 1]
[2023-06-21 19:17:50]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15896']	[STATUS => 0]
[2023-06-21 19:17:50]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15882']	[STATUS => 1]
[2023-06-21 19:17:52]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15817']	[STATUS => 1]
[2023-06-21 19:17:54]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15753']	[STATUS => 1]
[2023-06-21 19:17:54]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15755']	[STATUS => 1]
[2023-06-21 19:17:56]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15737']	[STATUS => 1]
[2023-06-21 19:17:56]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15745']	[STATUS => 1]
[2023-06-21 19:17:56]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15726']	[STATUS => 1]
[2023-06-21 19:17:56]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15710']	[STATUS => 1]
[2023-06-21 19:17:57]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15718']	[STATUS => 1]
[2023-06-21 19:17:57]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15704']	[STATUS => 1]
[2023-06-21 19:17:57]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15694']	[STATUS => 1]
[2023-06-21 19:17:57]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15681']	[STATUS => 1]
[2023-06-21 19:17:57]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15672']	[STATUS => 0]
[2023-06-21 19:17:58]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15651']	[STATUS => 1]
[2023-06-21 19:17:59]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15662']	[STATUS => 0]
[2023-06-21 19:17:59]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15631']	[STATUS => 1]
[2023-06-21 19:18:00]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15641']	[STATUS => 1]
[2023-06-21 19:18:01]	Processing -> 	[Post_Type: 'st_rental']	[Post_ID: '15622']	[STATUS => 1]
[=====	CRON-TASK-COMPLETED AT:		2023-06-21 19:18:03	=====]
